Text,Label,Subclass
"""@ashish_jadhao @AUThackeray सरकार मधला बावळट संतरी आणि कुतरकार""",1,2
"""ब्राह्मणवाद इतका वाईट, निच, आणि कपटी आहे""",1,5
"""टोपीवाला आणि माकडं यांची गोष्ट माहीत असेल, शेवटी दोघंही खुश असतात""",0,0
"""@ROHANM1508 प्रकाश आंबेडकर यांना हाच प्रश्न विचारला तेव्हा""",0,0
"""@LoksattaLive @YouTube गांधी, ठाकरे, पवार या नावाचे लेबल येवढेच""",1,0
"""@PatilTambvekar @OfficeofUT सत्तेत जाऊन बसले तेंव्हा""",1,2
"""@meNeeleshNRane तो काळतोंड्या विनायक राऊत आहे""",1,3
"""@meNeeleshNRane आरे पनवती तुम्ही ज्या पक्षात गेले""",0,0
"""बापाला भी रोज चुतिया च बोलत असशील घरात...""",1,1
"""@TV9Marathi त्या भडव्यांना कुणी सांगितलं होतं रस्स्यावर यायला ...""",1,0
"""विचार करा रे गाढवांनो, किती दिवस, नुसतं देव देव करत बसणार.""",0,0
"""@9900Vikram भिकारचोट आहे ...काहीही बरळाताय..""",1,1
"""@BhatkhalkarA @RahulGandhi अहो एवढे पण गुजराथी बनू नका""",1,6
"""@Anand_Dasa88 ह्म्म्म म्हणून आतंकवाद्याचे चाटे""",1,7
"""बातमी च हेडलाइन मागे साक्षर लोक असंणें किव्हा नाही""",0,0
"""@JainDenesh अहो दिनेश भाऊ हा चुतिया आहे..""",1,1
"""@CricWick फुकट का ज्ञान चोदणे का नही""",1,1
"""@r_raktade म्हणजे सामान्य जनतेला हे बाॅलावूड भांड किती चू समजतात 🤬""",1,2
"""@mumbaitak @nawabmalikncp @NCPspeaks Yz कबाब मलिक या एडझव्या ला""",1,1
"""@AvadhootGupte @mrhasanmushrif व्वा मुश्रीफ तुम्हाला आम्ही चांगला नेता समजत होतो""",1,1
"""@Anand_Dasa88 @itsamchimumbai हा स्वतः पण छपरी आहे""",1,1
"""@Manoj93Rane एका आडनावावर पोसलेल्या बिनडोक बांडगूळांच्या टोळक्याला""",1,1
"""@abpmajhatv @ShelarAshish #स्क्रिप्ट लिहिली जात आहे...""",1,0
"""चंद्रशेखर आझाद यांना नजरकैदेत ठेवणार्या""",1,6
"""@gad_pil @mataonline या फडतूस इसमाला आणि त्याच्या देशद्रोही वक्तव्यांना प्रसिद्धी देणे""",1,6
"""@Rohan37955573 @YatikY @CMOMaharashtra चुत्यानंद मोदीच्या घरातले नाही""",1,1
"""@_PJ_Queen @rightwing92 रडके आहे तुम्ही""",1,1
"""@Shaikh_Mohsin12 तिथे नळाला तोट्या बसवणार नाहीत बे""",0,0
"""Bc... नाव लपवण्याची वार्ता कोण करतोय आबे""",1,1
"""अरे लेकर परिक्षा देणार नाहीत तर तुझ्या सारखे बनेल मुर्खा""",1,1
"""@abpmajhatv याची तर लायकी नाही बोलायची""",1,1
"""@BhavrePratiksha हो न.. बरोबर न...!!""",0,0
"""गरम पुच्ची चे पाणी काढले""",0,0
"""@BhatkhalkarA अतुल्या तुला शिव्या देत देतच जन्माला घातलं होतं कारे तुझ्या बापाने.""",1,1
"""नगर अर्बन बँक निवडणूक : चित्र स्पष्ट, तरीही टशन कायम...""",0,0
"""@Ravi_raisewords @BrotherToGod @Korde100 तो नेहमी तसंच करतो.""",0,0
"""रेल्वे मंडळाचे डोक ठिकानावर नाहीच""",1,5
@SAMBHAJ07645020 @PawarSpeaks तूझ्या साहेबाने अक्खा शेतकरी वर्ग भिकेला लावला...,1,1
"साधी कॉमन सेन्स ची गोष्ट आहे, शाळा, महाविद्यालये ही ज्ञान ग्रहण करण्याची पवित्र ठिकाणं आहेत...",1,2
@mechetandixit वसंतसैनिकांनी निवडून दिलेले दोन राष्ट्रपती - प्रतिभा पटेल...,1,1
@mukesh__96 दात काय काढतो झाट्या तुझ्यासाठीच आहे ते...,1,3
"@atma_confused माझा 7"" इंचाचा लांब जाड बुल्ला...",1,3
@bvpat2501 फारच गलिच्छ विचारांची पोट्टी दिसतेस तू...,1,1
कोठलेही negative points हाती मिळत नाहीत...,1,2
@Vedashree_19 फ़क्त श्रीरामने डायरेक्ट बोलवल तर झक मारुन जावे लागेल...,1,1
@MiLOKMAT बातम्या व्यवस्थित द्या रे गाढवांनो...,1,1
"@rhtbapat ""महागड्या ब्रॅंडेड वस्तु वापरणे म्हणजे स्टेटस सिम्बॉल...",1,2
"@AditiMumma वाया गेलेल्या, पातळी सोडलेल्या? म्हणनारे एक number चे मूर्ख आहेत...",1,1
@abpmajhatv @1SaritaKaushik नागपूर पोलीस भरतीत घोटाळा काही नवीन नाही...,1,0
@ameytirodkar हे असल भिकारचोट काहीतरी लिहूनच पोटाचा प्रश्न सुटतो तुझ्या..?,1,1
आम्ही तर तासभर अडकलो होतो पण कुणाला काही बोललो नाही...,0,0
@Liberal_India1 माकडा तू HSRA बद्दल बोलू नको तू चाटतोयस ना ठरकी चाचा ची चाट...,1,1
@BhatkhalkarA येडझव गेलं कां आमचा पैसा उठवायला परदेशात भिकारचोट...,1,1
साला या bjp च्या चुतीया नेत्याना मत देणारे मतदार खरच गांडू कॅटेगरीतील असणार हे नक्की...,1,1
"काँग्रेस हा विचार-भ्रष्टाचार काही असो, पण तू मात्र सिल्व्हर ओक च्या दारात बांधलेला दलिंदर आहे...",1,1
@SKBharat111 @WaghamareVikas @aher_narendra @Harish_Patiil...,1,2
@Shrinivasswami4 @Bhushan__Gavali @rautsanjay61 @MamataOfficial...,1,1
एकाने सत्तेत असताना 72000 कोटींची शेतकरी कर्जमाफी दिली...,1,2
@nileshs03 गोबर जिंदगी नाही संघाची फाटलेल्या कंडोमची पैदास जिंदगी...,1,1
@Karma8080808 @Dev_Fadnavis नाही मिरची वगैर फक्त अंडभक्तांना लागत असते...,1,1
@AamarKurkute @Liberal_India1 कोणाला सांगतो भाई...,1,1
@RRPSpeaks कोणत्या च्युतया कंपनी किंवा माणसाने केला हा सर्व्हे...,1,1
@TusharP76962674 @KombdiChorr तुमच्यासारख्या सभेत घुसणार्‍यांना चघळायला...,1,3
@surajvchavan तू तर सांगूच नकोरे आम्हाला धरणातला मूत पिणाऱ्या...,1,1
म्हणजे तो हक्क फक्त मविआ च्या समर्थकांनाच आहे का?,1,2
@BhatkhalkarA @AjitPawarSpeaks वळवळकर सीमा भाग वादावर...,1,2
@Special_033 खानग्रेसी आहेत ते...,1,2
दचकलात ना? मंडालेचा राजबंदी...,0,0
उथळ पाण्याला खळखळाट फार आर्यन साठी कदमांचा नटरंगी बार. #AryanKhan,1,2
@lokmat कशाला धावत घोड अंगावर चढवून घेतो थेरड्या...,1,1
@Shaikh_Mohsin12 @Dev_Fadnavis देवेंद्र जी हुशार तर आहेतच...,1,1
चाटु पत्रकार काकांच्या थांपांना मोठ्या करून सांगत असतील...,1,1
@NidhiJyoti19 @Vishalp17897377 @mohitbharatiya_ @CHARANJITCHANNI या लोकांना रिप्लाय देण्या इतपत महत्त्व देऊ नये...,1,0
"""तालिबान anti-muslim आणि तू कोण झवण्या?""",1,4
@OfficeofUT @rautsanjay61 @AUThackeray जानेवारी-फेब्रुवारी २०२१...,1,2
@iamamidev @Me_Vishy पण हा तर झाटू म्हणतोय...,1,1
@JAMB15kar @rautsavi9 @AshutoshGhatge @Karus123SB...,1,1
अस्वलाच्या अंगावरचे केस कोणी मोजतं का?...,1,2
@ameytirodkar तुमच्या सारखे पाळीव जमात तुमच्या मालकांना उत्तर देयला बांधील असतात...,1,1
विमानात बोटाने पुच्ची जवली...,0,0
इंग्रजांच्या नाजायज अवलादी पुण्यतिथीला नाचताहेत...,1,2
@Rupesh3134 @ShivSena @AUThackeray...,1,1
शुद्ध हांडगे पणा आहे या बॉलिवूड मधल्या निच नालायक जनावरांचा...,1,1
कीती हा असंवेदनशीलपणा मुख्यमंत्री वेडा झालाय का...?,1,2
देशद्रोह्याशी संबध तरीही मंत्रिपदाचे ख्वाब...,1,1
@KirtiAzaad #च्युत्या पश्चिम बंगाल मधले जुने व्हीडिओ अजून टाक!👍,1,1
@sanjaypatil888 @AmarMWarishe @meNeeleshNRane तुझे बाप किती आहेत...,1,1
@IAshishMete @ramraje_shinde @AjitPawarSpeaks हा पाकीट घेऊन बी जे पी ची चातुगिरि करतो...,1,1
हो रे पैसे मोजायला तुझ्या बापाणेच दिले तोतऱ्या तुला तर असा बदडला पाहिजे ना आणि तोंड ठेचल पाहिजे हरामी औलाद सोमय्या,1,1
@berojgarar_ तुमच्यासारखे बाप बदलत नसतो आम्ही.. त्यातून असला भाडोत्री कुत्रा तर अजिबात नाही...,1,2
@AdvBHarshada @JAYD1114 ह्याला म्हणावं जा बरं पंजाब मध्ये कुत्र्या सारखा मारतील ह्याला.,1,1
"@VikasDe90360343 आणि येडझव्या अमीर खान चे, करोडो हिंदू फॅन्स आहेत",1,6
बांगड्या घालून तरी बसा म्हणजे आम्ही म्हणू की बाळासाहेब जे म्हणाले होते ते हिजडे च आहेत सत्तेत लाज वाटली पाहिजे आघाडी ला,1,4
"@patilji_speaks छान समजावून सांगितले पाटील, ऋषितुल्य बाबासाहेबांवर शिंतोडे उडविणारे हे हिंदुत्वाचा बुरखा पांघरून असलेले वराहच म्हणावे",1,6
"@INCMP ये केळ्या राजस्थान, पंजाब, महाराष्ट्र हे नाहीत काय राज्य फालतू लोकांचा फालतू पक्ष काँग्रेस",1,3
@optimusloveprim @shailesh_varmaa तुझा त्यो गुजराती बाप चा विकून गोळा करून देणार होय आमच्या महाराष्ट्राला ? भिकमांगे कुठले कुठून कुठून जमा झालेत,1,10
@trumptatya64 एक झाट्या आलाय ज्ञान शिकवायला 😂,1,1
झाटू गद्दार आम्हाला नको शिकवू लवड्या,1,3
आणि इतकी तितकी नाहीं तर चक्क 2300 माणसे - कशी पोहोंचली आणि कशी सर्वच्या सर्व देशातील 19 राज्यात पोहोंचली सुद्धां,1,2
मोदी सरकारने ते गुन्हेगार पकडले. गुन्हेगारांबरोबर मैत्री असणारे भडवे काँग्रेस मद्धे आहेत,1,1
@LoksattaLive @Dev_Fadnavis @BJP4Maharashtra सगळ्या महाराष्ट्राला कळत आहे की भाजप किती घाणेरडे राजकारण करत आहे. आता तरी सुधारा,1,4
@Anuya94419796 @Desi_Hunk_020 भेंचोद ह्यात काय आहे बघण्या सारखं ? तुम्हा तुंबलेल्या लोकांना कुठल पण भोक आवडत bc शी 🤢🤮,1,1
@Ajitshinde_28 @Sonalimumbai1 हे महाराष्ट्र सरकार महाराष्ट्राला दारुडे बनवायला निघालय.,1,4
संज्या येड्या 👌काच्या औकात मधे राहा... तुझी लायकी नाही देवेंद्र फडणवीस साहेबांबद्दल बोलायची..,1,1
@iAtulB पहिली IPL बंद करा. नारद फवाराने तुंबड्या भरण्यासाठी चालू केलेली ही एक पनवती आहे.,1,3
@SarkarnamaNews @rautsanjay61 कारं गांजाओढू शेतकरी आंदोलनावेळी कसा गांड फाटूस तोवर ओरडत होतास.,1,2
आपली गांड फाटली आहे म्हणुन तिला ठिगळ लावण्यासाठी किती बेधडकपणे पक्ष बदलत आहे,1,4
औरंगजेब ला सम्राट आणि आमच्या #छत्रपती_श्री_शिवाजी_महाराजांचा अपमान करणाऱ्या भाडखावू #Sony Tv #KBC चा जाहीर निषेध.,1,6
@TV9Marathi महाराष्ट्र राज्यातील जनतेच्या आदेशा विरुद्ध जाऊन मागील दोन वर्षांपासून राज्याला वेठीस धरलंय,1,4
@ROHItKA97010862 @HarshadaSwakul हलकट आहेत ते महाराष्ट्रातील खाजबा नेते,1,1
"अभ्यासू, विचारवंत माणसे कधीच आवाज चढवून बोलत नाहीत",0,0
पुण्यात रिक्षेवाले इतके माजलेले आहेत.,1,10
कोरोना पेक्षा भयानक अंधभक्त नावाचा वायरस आहे.,1,7
vadapav... संघी लोकांचा मालक खातो आहे..,1,3
@BhatkhalkarA @OfficeofUT शेठने एअर पोर्ट गौतम आदानीच्या घश्यात घातले,1,6
"@d590NMx8dstLnQv @Sonalimumbai1 गांडू सैनिक, लांड्या समाजाचे समर्थन करणाऱ्यांच्या पंगतीला जाऊन बसलेले",1,5
"@abpmajhatv @RahulAsks @ravishndtv कुठं रविश कुमारची पत्रकारितेचा, कुठं तुमची?",0,0
@mi_puneri लोकांनी ह्याच्या सिनेमांचा बहिष्कार केला तर ह्याची अवास्था पार विकट होईल,0,0
@anil010374 शेतकरी ची जात कुठली मग bjp वाले तयार होतील आंदोलन करायला,1,10
"""आपण आपल्या मर्यादेत राहा.. @KonkanRailway हे राज्य तुमच्या बापाची जहागीर नाही",1,6
"एवागल्या भिकारचोटा, तुझ्या पुच्चीचा टंन्ना मारू तुझ्या",1,1
एस टी कर्मचाऱ्यांनी नुस्ता संप न करता रस्त्यावर उतरून ट्रॅव्हल्स वाल्यांच्या गाड्या बंद केल्या पाहिजे,0,0
महाराष्ट्रात सरकार असलेल्या कॅँग्रेसने गोवा ऊ प्र मधे सोबत शिवसेनेला घेणेस नकार दिला,0,0
आणि हे बिनडोक आम्हाला भक्त बोलतात,1,1
@iamamol @ChDadaPatil @AnilDeshmukhNCP @Jayant_R_Patil @BJP4Maharashtra @NCPspeaks @PawarSpeaks ए केल्या हे बघ घोटाळेच घोटाळे करोडेचे घोटाळे करणारे,1,3
@RahulGandhi Madarchod to tu hai hi bhosdike,1,1
मग तुझा मोदी स्वता गेला होता कारे लस द्यायला ठोणग्या,1,1
@TV9Marathi अरे तुझ्या बापाला आणि भावाला 3 वेळा उताणा पाडलंय,1,1
मुंबईच्या पोरी लय शहाण्या असतात,0,0
@deshu_1234 हा सगळा अट्टाहास मुंबई नगर पलिकेसाठी सुरू आहे,0,0
मी चांगले ट्विट केले की याच रँडी रोना सुरु होतो,1,1
@duplicate_modi मग महाराष्ट्र पाकिस्तान मध्ये आहे का एडझव्या,1,2
@Avadhutwaghbjp तुझ्या बापाने नक्कीच तुला गटारातून उचलले असणार भडव्या,1,1
@Anand_Dasa88 राजकारणातला सर्वात दलींदर आणि काळ तोंडी माणूस कोण आसेल तर हा,1,1
@shenoy_jitendra @TV9Marathi @Dev_Fadnavis चमच्या उडून घे हा लेखी पुरावा,1,3
"""अरे,बंद करा तो ट्विटर बॅन होण्याचा रंडीरोना",1,4
@Krutika29_ औरंग्याच्या औलादी बाकी काही नाही,1,6
उद्धव_ठाकरे तुम्ही स्वतः च महाराष्ट्रासाठी एक पनवती आहात !,1,2
पाकिस्तानातील व्यवसायासाठी भारतावर टीका करणाऱ्या ह्युंडाईच्या सीईओला मानसोपचाराची भयंकर आहे.. 😂😂😂,1,2
"वासाड्या तर तुम्ही लोक आहात, बकरी, कुत्रं, कोंबडी सुध्दा सोडत नाही.",1,1
"@BhatkhalkarA येडझव्या, परीणाम तर तुझ्या डोक्यावर झाला आहे.",1,1
@KudleRushi @bvpat2501 फडणवीस यांचं मुख्यमंत्री पद गेल्याच तिला दु:ख आहे.,1,2
"@NageshYogiraj @sanjay_kolekar चोदी बद्दल बोलतय, जाऊदे तुला सोप्या भाषेत सांगतो, तुझ्या बापाबद्दल बोलत आहेत.",1,1
@Im_MafiaPanda शेजारीच मादरचोद असतात रे 😂,1,1
@NitinRaut_INC पप्पु आणी परिवार यांना म्हणा कि तुम्हीं z+ घेउ नका साधारण विना संरक्षण फिरा.,1,2
"@KhadseVasant @ZameerINC ह्या गलिच्छ राजकारणामुळेच कॉंग्रेस, राष्ट्रवादीचे अनेक नेते बेडूक उडी मारुन तिकडे गेले.",1,6
दम असेल तर ब्लॉक काढून चर्चा करा ..फ़ट्टू फरुळेकर!,1,1
"@mataonline @BhatkhalkarA निवडणुका जवळ आल्या की मुसलमानाना शिकार बनवायची, ही BJP ची आयडिया जुनी झाली.",1,6
@kiranKhule15 अनाजी पंताच्या अवलादींप्रमाणे सूर्याजी पिसाळ.,1,2
अर्णब गोस्वामी भडव्या तुझ्या भुंकणार्या कुत्र्यांना आवर घाल.,1,1
@Abhishe51645214 पहिला गद्दार टकल्या गांधी होता...,1,1
आरारारा.....! पाकिस्तान संडास पर्यंत आली आणि दारातच हागली.,1,5
"@abpmajhatv @ShelkeGovinda खंडणीखोर, घोटाळेबाज टकल्या ढेकूण.",1,2
@PranavJoshi_ @PranitP18191471 कारे नसबंदी केलेल्या बापाची चुकुन झालेली औलाद.,1,4
"@IndologyMemes आमच्याकडे एक वाकडतोंड्या आहे, त्याला भावी पंटरपरधान म्हणतात.",1,2
शाई फेकण्याची गांधीगिरी करण्या ऐवजी..... गिरश्याचा बोचा निरगुडीच्या वल्ल्या फोकानं सडकला पाहिजे.,1,2
@ArohWelankar टिपू शूरवीर होता माफिवीर न्हवे.,1,2
रिझर्व्ह बँक ऑफ इंडियाच्या गव्हर्नर पदावर आणखी तीन वर्षांसाठी शक्तिकांत दासच असणार.,0,0
अरे बड्डे घाल्या नंतर चाट ना सकाळ सकाळ काय फालतुगीरी.,0,0
@abpmajhatv @JayMaharashtrN सदर वृत्तवाहिन्यांचे प्रतिनिधी चहा-बिस्किटवाले वार्ताहर वाटतात.,0,0
@SjAmruta हो पण 3क प्रषणाचे उत्तर आझुन अंधारातच आहे...,0,0
भाईजानच्या अभिनयातील जान संपली आहे हे अंतिम कटू सत्य आहे.,0,0
@Fentanyl_Patch तुझ्या सारख्या बऱ्याच रांडेच्या पोरांना लवड्या वर बांधून दुनिया दाखवली आहे.,1,4
@mahapwdofficial वीतभर रस्त्याचे झाटभर काम केल्याने ते काय होते ते बघा.,0,0
@BhatkhalkarA ५६ इंच भित्र्या लोकांपेक्षा राहुल गांधी कधीही बरे.,1,2
@BJP4Mumbai भावडया तू जो कोण लिहितो आहे तुझा जन्म तरी झाला होता का 1992 मधे.,1,1
तिसरे महायुद्ध 🤔 येडे झाले की काय मटा वाले.,0,0
"""किसान कायदा लावताना स्वतःची पाठ थोपटली, आता तोच कायदा मागे घेतल्यावर.",0,0
5 रू पेट्रोल वाढले की भारत बंद.,0,0
"खास #मराठी_पाट्या आग्रह फक्त #मोदी_समर्थक अंधभक्त आहेत... बाकी पक्षाचे सतरंजी उचले, गुलाम, शेनिक तर ..डोळ्यात जीवदया नेत्राप्रभा घालून खास नेत्रातज्ञा कडून तपासून घेतले जातात.. 😂🤣 https://t.co/dyBoU139p8",1,6
"""@d590NMx8dstLnQv आजोबा संस्कार दिसले तुमचे....गावगुंड आहात आणि तीच लायकी आहे तुमची...कसले तुम्ही शिवसैनिक येडझवे...काम धंदे सोडून मोकार फिरायला जा दीड दमडीच्या नेत्यांबरोबर...चोम्या तो ट्विट परत बघ न तिची भाषा बघ...शिवसैनिक सगळे असेच आहेत का गावंडल... छ्परी...टपोरी...झोपडपट्टी टपोरी""",1,1
"He सगळ्यांना #Pappu समजतात... हा तोच आहे का ""रक्तरंजित"" वगैरे म्हणत नंतर पळून गेला होता... ??",0,0
"""@AcharyaBhosale पहिले तु वारकरी कसा हा प्रश्न वारकरी संप्रदायाला प्रश्न पडला आहे याचे उत्तर दे बाकीचा तोंडाचा पट्टा नंतर चालव. आणि तुला मी जाहीर चर्चेचे आव्हान दिलेले ट्विटर वर तिथे तर तुझी बोबडी वळली आणि तु दातखिळ बसल्यागत शांत बसला फट्टु कुठला.""",1,3
अरे रताळ्याणो सवर्ण पत्रकार हे त्या संघटनांचा नरेटिव्ह आहे या पत्रकाराचा नाही.. त्या संघटनांना जाब विचारा जे आंदोलन करत आहेत,1,5
@ZEE5Marathi तुमचं ते दिवसरात्र बुल्ल्या बुल्या बोलायचं थांबवा. मराठवाड्यात पुरुषांच्या जननेंद्रिय याला बुल्ली म्हणतात आणि त्यावरून एकमेकांना बूल्ल्या म्हणून शिवी देतात. आम्हाला घरी ते फार त्रासदायक वाटतं कारण ती जाहिरात अचानक येते. नाहीतर मला प्रशासनाकडे तक्रार करावी लागेल.,0,0
झाटू गद्दार आम्हाला नको शिकवू लवड्या,1,1
"हा मोदी, शहा आणि भाजपच्या सत्तालोलुपतेचा नंगानाच आहे!",1,1
@Milind_Date2021 @patil_inc @VikasGhare007 @BhaiJagtap1 भेंचोत हा दाते काँग्रेसला नाव ठेवत आहे कॅन्सर रोगाला...🤣🤣🤣🤣 खरंच संघातील अर्धी चड्डी गेली पण अर्धवट असलेली अक्कल काही पूर्ण होताना दिसत नाही..😁😁😁,1,4
"@hypernationalst तेच बेटर राहील वाटतंय मला तर, चाट्या चुतीया लोकांसाठी मी तरी माझा वेळ वाया न घातलेला बरा",1,1
"चंगणा घणौत च्या मते स्वतंत्र्य जर भिक मागून मिळालं, तर तीने साकारलेली झाशीची राणी कोण? #येड्याचा_बाजार",1,1
एवढी गळती पण नाही लागलीय... की तुमच्यासारखी लाळ चाटण्यासारखी... वेळ आली आहे.,1,2
"@bvpat2501 नाव यशोमती ठाकुर आहे पण हिंदुच्या फार दूर आहे, हिंदु संस्कृती जणु हिला सुया टोचतात की मेंदूत उलथापालथ होते तेच कळत नाही, कशाला हिंदुच्या घरी जन्म घेतला देव जाने त्यापेक्षा बुरखा घालून फिरली तर बरे होईल",1,6
@patil_maanas @abhi_palaskar1 @limaye_vikram चक्रम तो आहे हे मोदीचा भक्त आहे यातच सिद्ध केलंय 🤣,1,2
@satejp @CMOMaharashtra @AjitPawarSpeaks @bb_thorat सर्व मोर्चे वाल्यांना देशद्रोह लावून आत टाका बेल देऊ नका,1,5
@Mi_Bhoomkar भिकार बुल्ला आहे एक नबेर च,1,1
@imxoul @HardikPatel_ @Allavaru @priyankagandhi @ahmedpatel @kcvenugopalmp @sampitroda @RahulGandhi @ashokgehlot51 @kumari_selja @AcharyaPramodk @SATAVRAJEEV रंडीबाज रंगीला हलकट लेहरू,1,1
"@BhatkhalkarA मला वाटतं नाही की शक्ती विधेयक संमत केल्याने महिलांवरील अत्याचार कमी होतील कारण नेभळट राज्यकर्त्या मुळे पोलिस दल पण आळशी झाले आहे, व जास्तच भ्रष्टाचारी झाले आहे,",1,0
मानवता नसलेल्या तालिबानी महाराष्ट्रात #बौद्धांच्या खुलेआम कत्तली,1,6
"अक्कलशुन्य पत्रकारिता, बातमी तयार होईपर्यंत संपादक महोदय काय भांग पिऊन झोपले होते काय",1,1
"तुम्ही कलंक आहात ओबीसी ला. स्वतः ओबीसी असून त्यांच्यावर विश्वास नाही असे म्हणता. ज्यामुळे आज इथे आहे त्याच समाजाबद्दल असे बोलता, थोडी तरी लाज बाळगा",1,6
@umesh_charpe @khadaksingh_ नगर चा आहे नगर टाईम्स खूप जुना आहे आणि खरा आहे ! चाय बिस्किट मिडीया नाही,0,0
@AmolYad68225929 @ramraje_shinde आता तू जा आणि तुझ्या साहेबाला पोलिओ पाज आणि थोड तू पण पोलिओ पी झिपऱ्या,1,1
